"N° DM","LIGNE","N°BL","Article","Quantité","CHANTIER","Date livraison","INTITULER","EE","RECEPTION"
"25-0047776","25-0047776/3/1","00117555","01757703","30","MONTEREAU","29/01/2026","AXE D'ARTICULATION TETE 16-50","ETF","02/04/2026"
"25-0047776","25-0047776/38/1","00117555","08800065","48","MONTEREAU","29/01/2026","CORNIERE 80X80X8  L470MM 18R46","ETF","02/04/2026"
"25-0047776","25-0047776/39/1","00117555","08800066","28","MONTEREAU","29/01/2026","CORNIERE 80X80X8  L480MM 18R47","ETF","02/04/2026"
"25-0047776","25-0047776/4/1","00117555","01758161","40","MONTEREAU","29/01/2026","AXE D'ARTICULATION TETE 20-60","ETF","02/04/2026"
"25-0047776","25-0047776/42/1","00117555","08822795","4","MONTEREAU","29/01/2026","CORPS DE CONSOLE 0_600M  27650","ETF","02/04/2026"
"25-0047776","25-0047776/43/1","00117555","08806767","6","MONTEREAU","29/01/2026","COSSE A PLAGE DEPORTEE    6787","ETF","02/04/2026"
"25-0047776","25-0047776/45/1","00117555","08806771","4","MONTEREAU","29/01/2026","COSSE DERIVAT (BAR. CU25) 1022","ETF","02/04/2026"
"25-0047776","25-0047776/47/1","00117555","78804045","2","MONTEREAU","29/01/2026","COSSE D'EXTREMITE     6603R304","ETF","02/04/2026"
"25-0047776","25-0047776/48/1","00117555","01932935","100","MONTEREAU","29/01/2026","COLLIER HOP INOX9 20-35","ETF","02/04/2026"
"25-0047776","25-0047776/5/1","00117555","01758180","210","MONTEREAU","29/01/2026","AXE D'ARTICULATION TETE 20-70","ETF","02/04/2026"
"25-0047776","25-0047776/7/1","00117555","01604698","20","MONTEREAU","29/01/2026","BOULON H_M14-130_2 ECRS H GALV","ETF","02/04/2026"
"25-0047776","25-0047776/8/1","00117555","01604709","20","MONTEREAU","29/01/2026","BOULON H_M14-140_2 ECRS H GALV","ETF","02/04/2026"
"25-0047776","25-0047776/9/1","00117555","01604573","25","MONTEREAU","29/01/2026","BOULON H_M14-40_2 ECROUS GALV","ETF","02/04/2026"
"25-0047776","25-0047776/6/1","00118404","08413868","60","MONTEREAU","04/02/2026","BARRE RONDE D=25MM SECT 490MM2","ETF",""
"25-0047776","25-0047776/37/1","00119647","08800052","34","MONTEREAU","12/02/2026","CORNIERE 60X60X6  L400MM 18R03","ETF","16/02/2026"
"25-0047776","25-0047776/44/1","00120928","79520830","20","MONTEREAU","18/02/2026","COSSE BIMETAL CU/AL DE 95-12_5","ETF","25/02/2026"
"25-0047783","25-0047783/32/1","00121169","08821180","1","MONTEREAU","19/02/2026","SUPPORT DE PLAQUE       223429","ETF","25/02/2026"
"26-0006439","26-0006439/1/1","00122769","78801012","10","LUC","04/03/2026","ETRIER  ""L = 0_395M""      5005","LUC",""
"26-0006439","26-0006439/10/1","00122769","78801021","10","LUC","04/03/2026","ETRIER  ""L = 0_450M""      5005","LUC",""
"26-0006439","26-0006439/2/1","00122769","78801013","10","LUC","04/03/2026","ETRIER  ""L = 0_400M""      5005","LUC",""
"26-0006439","26-0006439/3/1","00122769","78801014","10","LUC","04/03/2026","ETRIER  ""L = 0_410M""      5005","LUC",""
"26-0006439","26-0006439/4/1","00122769","78801015","10","LUC","04/03/2026","ETRIER  ""L = 0_415M""      5005","LUC",""
"26-0006439","26-0006439/5/1","00122769","78801016","10","LUC","04/03/2026","ETRIER  ""L = 0_420M""      5005","LUC",""
"26-0006439","26-0006439/6/1","00122769","78801017","10","LUC","04/03/2026","ETRIER  ""L = 0_425M""      5005","LUC",""
"26-0006439","26-0006439/7/1","00122769","78801018","10","LUC","04/03/2026","ETRIER  ""L = 0_430M""      5005","LUC",""
"26-0006439","26-0006439/8/1","00122769","78801019","10","LUC","04/03/2026","ETRIER  ""L = 0_435M""      5005","LUC",""
"26-0006439","26-0006439/9/1","00122769","78801020","10","LUC","04/03/2026","ETRIER  ""L = 0_445M""      5005","LUC",""
"25-0047783","25-0047783/18/1","00122772","08800606","19","MONTEREAU","03/03/2026","ISOLATEUR CERAMI. SUPPORT  400","ETF","10/03/2026"
"26-0006445","26-0006445/1/1","00124513","08805300","100","LUC","13/03/2026","ETRIER  ""L = 0_200M""      5005","LUC",""
"26-0006445","26-0006445/10/1","00124513","08805323","10","LUC","13/03/2026","ETRIER  ""L = 0_195M""      5005","LUC",""
"26-0006445","26-0006445/11/1","00124513","08805325","10","LUC","13/03/2026","ETRIER  ""L = 0_205M""      5005","LUC",""
"26-0006445","26-0006445/12/1","00124513","08805326","10","LUC","13/03/2026","ETRIER  ""L = 0_210M""      5005","LUC",""
"26-0006445","26-0006445/13/1","00124513","08805327","10","LUC","13/03/2026","ETRIER  ""L = 0_215M""      5005","LUC",""
"26-0006445","26-0006445/14/1","00124513","08805328","10","LUC","13/03/2026","ETRIER  ""L = 0_220M""      5005","LUC",""
"26-0006445","26-0006445/15/1","00124513","08805329","10","LUC","13/03/2026","ETRIER  ""L = 0_225M""      5005","LUC",""
